PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;24;10;28079024_10_47;2018;05;07;00009;V;00010;V;00004;V;00005;V;00008;V;00004;V;00004;V;00010;V;00017;V;00039;V;00013;V;00023;V;00012;V;00012;V;00013;V;00013;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;12;28079024_12_8;2018;05;07;00017;V;00015;V;00009;V;00009;V;00025;V;00011;V;00009;V;00019;V;00026;V;00082;V;00157;V;00115;V;00053;V;00036;V;00028;V;00010;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;14;28079024_14_6;2018;05;07;69.70;V;41.48;V;49.70;V;46.45;V;31.37;V;18.37;V;17.61;V;11.37;V;08.58;V;09.50;V;04.49;V;09.59;V;34.03;V;61.19;V;76.92;V;96.47;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;20;28079024_20_59;2018;05;07;000.8;V;000.7;V;000.5;V;000.4;V;000.7;V;001.0;V;000.9;V;000.8;V;000.7;V;001.4;V;003.2;V;004.8;V;003.9;V;002.2;V;002.9;V;001.5;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;30;28079024_30_59;2018;05;07;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.8;V;001.0;V;000.6;V;000.3;V;000.3;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;35;28079024_35_59;2018;05;07;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.5;V;000.4;V;000.1;V;000.2;V;000.1;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;42;28079024_42_2;2018;05;07;01.22;V;01.22;V;01.21;V;01.21;V;01.26;V;01.25;V;01.26;V;01.33;V;01.34;V;01.35;V;01.36;V;01.33;V;01.26;V;01.24;V;01.23;V;01.20;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;43;28079024_43_2;2018;05;07;01.18;V;01.18;V;01.17;V;01.17;V;01.21;V;01.19;V;01.20;V;01.29;V;01.30;V;01.29;V;01.27;V;01.25;V;01.20;V;01.19;V;01.17;V;01.15;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;24;44;28079024_44_2;2018;05;07;00.05;V;00.04;V;00.04;V;00.04;V;00.05;V;00.06;V;00.06;V;00.04;V;00.04;V;00.06;V;00.09;V;00.08;V;00.06;V;00.06;V;00.06;V;00.05;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;7;28079027_7_8;2018;05;07;00001;V;00002;V;00001;V;00001;V;00001;V;00002;V;00016;V;00040;V;00045;V;00030;V;00025;V;00027;V;00029;V;00016;V;00005;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;8;28079027_8_8;2018;05;07;00028;V;00043;V;00020;V;00021;V;00017;V;00026;V;00051;V;00063;V;00059;V;00056;V;00056;V;00051;V;00061;V;00046;V;00022;V;00017;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;12;28079027_12_8;2018;05;07;00030;V;00046;V;00022;V;00022;V;00018;V;00030;V;00075;V;00124;V;00127;V;00102;V;00094;V;00093;V;00106;V;00071;V;00029;V;00022;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;14;28079027_14_6;2018;05;07;64.29;V;37.24;V;44.36;V;44.65;V;42.97;V;27.88;V;08.85;V;04.81;V;07.93;V;14.79;V;13.58;V;15.79;V;21.29;V;41.09;V;68.36;V;75.96;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;1;28079035_1_38;2018;05;07;00007;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00007;V;00006;V;00005;V;00004;V;00006;N;00006;V;00002;V;00001;V;00001;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;6;28079035_6_48;2018;05;07;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.3;V;000.4;V;000.5;V;000.5;V;000.5;N;000.4;V;000.3;V;000.3;V;000.2;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;7;28079035_7_8;2018;05;07;00009;V;00009;V;00014;V;00017;V;00018;V;00019;V;00026;V;00046;V;00053;V;00090;V;00097;V;00090;N;00031;V;00025;V;00013;V;00008;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;35;8;28079035_8_8;2018;05;07;00035;V;00039;V;00038;V;00036;V;00037;V;00032;V;00033;V;00037;V;00061;V;00060;V;00064;V;00063;N;00070;V;00060;V;00046;V;00038;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
